name,title,year,venue,paper_url,code_url,tags,note,category
ST-GREED,ST-GREED: Space-Time Generalized Entropic Differences for Frame Rate Dependent Video Quality Prediction,2021,TIP,https://arxiv.org/abs/2010.13715,https://github.com/utlive/GREED,VQA FR CLASSICAL,Entropic model capturing how frame rate and compression interact in high-frame-rate video,vqa
VIDEVAL,UGC-VQA: Benchmarking Blind Video Quality Assessment for User Generated Content,2021,TIP,https://arxiv.org/abs/2005.14354,https://github.com/vztu/VIDEVAL,VQA NR UGC CLASSICAL,"Feature-selected fusion of 60 handcrafted features, plus a UGC benchmarking study",vqa
RAPIQUE,RAPIQUE: Rapid and Accurate Video Quality Prediction of User Generated Content,2021,OJSP,https://arxiv.org/abs/2101.10955,https://github.com/vztu/RAPIQUE,VQA NR UGC CLASSICAL DEEP,Pairs quality-aware scene statistics with CNN semantics for fast UGC scoring,vqa
CNN-TLVQM,Blind Natural Video Quality Prediction via Statistical Temporal Features and Deep Spatial Features,2020,ACMMM,https://doi.org/10.1145/3394171.3413845,https://github.com/jarikorhonen/cnn-tlvqm,VQA NR UGC CLASSICAL DEEP,Hybrid of handcrafted temporal statistics and deep spatial CNN features,vqa
TLVQM,Two-Level Approach for No-Reference Consumer Video Quality Assessment,2019,TIP,https://doi.org/10.1109/TIP.2019.2923051,https://github.com/jarikorhonen/nr-vqa-consumervideo,VQA NR UGC CLASSICAL,Two-layer low and high complexity features aimed at consumer capture artefacts,vqa
VSFA,Quality Assessment of In-the-Wild Videos,2019,ACMMM,https://arxiv.org/abs/1908.00375,https://github.com/lidq92/VSFA,VQA NR UGC DEEP,Content-aware CNN features with GRU temporal pooling and a hysteresis model,vqa
ST-VMAF,Spatiotemporal Feature Integration and Model Fusion for Full Reference Video Quality Assessment,2019,TCSVT,https://arxiv.org/abs/1804.04813,https://github.com/Netflix/vmaf,VQA FR DEEP,Spatiotemporal and ensemble VMAF extensions adding temporal features to the fusion,vqa
SpEED-QA,SpEED-QA: Spatial Efficient Entropic Differencing for Image and Video Quality,2017,SPL,https://doi.org/10.1109/LSP.2017.2726542,https://github.com/utlive/SpEED,VQA FR RR CLASSICAL,"Spatial-domain entropic differencing, far cheaper than ST-RRED",vqa
VIIDEO,A Completely Blind Video Integrity Oracle,2016,TIP,https://live.ece.utexas.edu/publications/2016/07332944.pdf,https://github.com/utlive/VIIDEO,VQA NR UGC CLASSICAL,"Opinion- and distortion-unaware, using only intrinsic statistical regularities",vqa
VMAF,Toward A Practical Perceptual Video Quality Metric,2016,Netflix,https://netflixtechblog.com/toward-a-practical-perceptual-video-quality-metric-653f208b9652,https://github.com/Netflix/vmaf,VQA FR DEEP COMPRESSION,Fusion-based full-reference metric; the de facto industry standard for streaming,vqa
V-BLIINDS,Blind Prediction of Natural Video Quality,2014,TIP,https://doi.org/10.1109/TIP.2014.2299154,https://github.com/utlive/VideoBLIINDS,VQA NR CLASSICAL,DCT-domain spatiotemporal statistics with a motion coherence model,vqa
ST-RRED,Video Quality Assessment by Reduced Reference Spatio-Temporal Entropic Differencing,2013,TCSVT,https://doi.org/10.1109/TCSVT.2012.2214933,https://github.com/utlive/strred,VQA FR RR CLASSICAL,Entropic differencing of spatial and temporal wavelet coefficients,vqa
Grounding-IQA,Grounding-IQA: Grounding Multimodal Language Model for Image Quality Assessment,2026,ICLR,https://arxiv.org/abs/2411.17237,https://github.com/zhengchen1999/Grounding-IQA,IQA MLLM REASONING,"Ties quality description to spatial location, so the model says where the degradation is",mllm
